Delta,Theta,Alpha,Sigma,Beta,Gamma
406.566767625115,63.8706131020725,25.6947294839521,21.6869161667894,7.99377955280184,3.27377926620589
403.21783184212,74.5861408050079,28.8530163147968,26.4321338171104,8.38304757747626,2.70180340410172
417.797975675184,80.6774220619544,27.0296594028677,25.1515416805487,8.33045829166651,2.48991442292443
402.369663117853,84.6186134831828,26.4064689312922,26.4785889313589,8.48937332607307,2.41184787983434
397.4114016054,72.1391378307344,24.1217846142848,26.0301265772601,7.56252147453218,2.27645204325939
349.423747549373,51.3469289519248,19.9177183638825,23.605737341901,6.37114122454369,2.06581461904755
286.270820032719,30.5717000074913,13.1918951283317,14.9340270117715,5.49286691210515,2.51110498862146
295.344236499074,62.9863016722793,29.2357092310369,21.4470159261305,9.2494798960456,3.61618939897726
331.608626219939,68.5678708879316,32.7117837523095,23.470634759878,8.82688592050123,2.78321078828377
377.805036073362,76.1803929217491,29.0510752406062,21.3066429155523,8.01835363461267,2.41629504386827
413.280473606051,78.4951598144774,28.6836106519482,19.9152623863781,7.81234591754807,2.54019108171057
398.749436188369,63.1977542777715,25.6050389663903,20.0961922401607,7.32772726259032,2.23421253340772
288.952773332738,44.1318587830961,21.853830013397,16.7433601334146,6.46547742049868,2.00801217639144
204.695057849245,25.3947246303735,13.747581042155,9.91276619483097,6.35614265681638,2.3139876597332
275.215038641385,61.6949893411891,31.9341460210601,22.7335734301915,9.75994897998831,3.35799637145086
326.180319015765,65.0155630166082,33.238600861747,22.6750237164617,8.95899611861523,2.57766580229021
377.029568225864,67.1480624817574,32.0982001745154,21.1063452856725,8.42056766975135,2.44671987853689
404.05725549664,64.0437558555465,30.540870138621,19.3836983464716,7.82599105568742,2.37059089214353
356.397034046997,54.9081649182814,28.0865961300195,17.3819086511492,7.40113102294397,2.02423394810787
304.312342614302,45.5069751714575,25.8947009395175,16.2823027344884,7.18183630498803,1.86804246041692
224.41321585836,30.5567933652983,18.3003502736904,12.3623609606642,5.8741265328418,1.71106808674647
1841.28158047542,80.5578045573731,26.4468555756671,18.720446601973,7.85374466036939,6.10245822754579
1397.79048866084,63.8678139266544,23.0156001894381,17.7194073550277,5.38417018810762,2.58793894532011
1656.33770626702,62.6519950967116,22.5797962274142,16.9453402478903,5.21994924341091,2.65033623512598
1475.99247688016,80.2883782079737,27.3528497447537,20.5137228849307,8.77840911243247,4.72700966681749
1409.65525282551,77.1599939960164,26.163589012529,20.259503910859,8.47725961732375,4.53003704206426
699.675429703927,65.7868030076204,22.749590126979,23.7970602790731,6.64505347744018,2.27103882330388
867.44297100822,51.0110076497839,20.2037952901353,20.1789833606714,5.52954489113629,2.08475540409106
1354.14698043539,49.6617965771482,19.0939864910741,15.1416620637535,5.77600332933066,3.90797735878035
675.002612883169,60.3883650147189,24.1803024616244,18.4982477534882,8.25642129722457,3.67623073057392
779.754571755191,74.3962123923371,27.6381543082855,24.0606091110082,8.92596737046572,4.03366168506147
555.183515778759,61.1048452692662,20.4547055053314,23.5887031584255,6.29800481018615,2.03967596637394
536.217071742672,75.2772178922783,24.9357719235589,25.9727926094793,8.18293594245087,2.50812479926454
513.368222207859,75.2261783530071,24.6805200697452,26.7258544704261,7.92263916641441,2.39614134633163
506.717479752175,63.5103293686867,22.0837448822952,25.2935685302998,7.0621800824166,2.21824094226853
487.49615981888,56.7086355270625,19.9007964385151,23.0664430813248,6.21812349152314,1.97867361075661
497.744909366929,41.462455171768,16.7069088421946,19.1973099052491,5.56417538242078,2.13489234685081
750.149353303989,38.3970906410045,14.0206733610671,12.3173649374386,4.55361488101351,2.21701823718061
376.481891837058,57.3366987911326,24.589156522319,18.1672382771516,8.17820849292518,3.67231191468518
189.415987078852,18.8093849664182,8.28692105844234,8.35563538174775,4.12980113700792,2.18567363580785
266.025713685418,54.5758403641503,25.7253291064468,18.4425880351461,9.09875417220901,4.68227765240104
133.837199466761,15.4444840746968,8.04474339929586,7.22726504440402,16.6914939323685,7.05097518968781
204.213274383424,45.7094215416708,25.5259792782519,18.3387036999571,8.16864676896692,2.80342819985951
56.4705459650397,5.43068054690693,2.36828722232587,2.03663767188709,4.24857915303477,2.90831069957379
212.179691735618,55.2232019995812,27.916918633909,20.0310096338083,9.03558674651871,2.99442234222419
143.858437874465,16.7380337227883,9.70837411656877,8.36548816296896,3.55916215532976,1.8655437175485
232.873747788663,56.901761402465,32.8840790207299,26.6195810472349,10.6573483855115,3.37500050594309
288.650642736057,59.8874319653919,35.3423276976468,26.7493886770931,9.51277131554981,2.72257100960256
340.822963777007,60.1905256558589,35.9857797598482,26.5543468045943,8.90739625047846,2.47992743474884
381.198670117043,57.3660464213914,35.7134454703442,26.3076473732313,8.47424305922974,2.40903627118669
399.594499416967,56.8734658865667,33.838650677817,22.4575403554755,8.01805558677633,2.20707510818248
362.592068704899,47.7806720445919,32.816493632757,21.8860864147673,7.73869129277243,2.00331654195246
311.512005914161,42.1199852847867,29.6921092116878,20.1307629317518,7.36973786319403,1.8997959333577
234.687225280369,32.9719511125598,22.5017026014841,17.9078913734919,6.25491611057783,1.74936565884736
175.617419451831,24.8985842923265,16.0710062362062,15.230872590729,5.26732076181819,1.89339279422275
291.247169248311,57.2077933295597,38.8946344592734,32.4272478149602,10.2238017985772,2.98012168154215
344.562574281299,58.3130446895811,39.8149169955305,31.8053828128866,9.50861061548251,2.67992262051677
398.406397789271,52.8141281061635,37.6873704541475,29.0793305218912,8.55838116593796,2.4301925041535
322.238689688554,41.5514579332648,32.39330923402,26.5625883799489,7.90308450017798,2.20545451654194
281.572575859941,39.6541700772607,29.8599110901284,30.4632947260409,8.46220730858431,2.79114599231628
320.641388047071,54.8020616204967,42.5257649269564,38.8102876667418,13.4735257243845,2.34674319566555
325.898590387404,51.1396581818808,37.2622156692768,34.7909471336337,12.6178424002101,2.79807308841904
456.382881213758,54.7446175474617,38.1752654033638,37.2307731771923,13.6063809422498,3.29683308434268
319.314642355745,49.8763031922047,37.6023953717144,31.2761888887571,16.2681922728114,5.23533007494281
