onset	duration	sample	trial_type	response_time	stim_file	value	HED
5.0410000000	n/a	n/a	stimulus	n/a	138078.jpg	difficult_distractor	n/a
7.2170000000	n/a	n/a	stimulus	n/a	138013.jpg	difficult_distractor	n/a
9.0350000000	n/a	n/a	stimulus	430	65146.jpg	difficult_target	n/a
9.4650000000	n/a	n/a	response	n/a	n/a	correct	n/a
10.8520000000	n/a	n/a	stimulus	n/a	65146.jpg	difficult_target	n/a
12.6930000000	n/a	n/a	stimulus	352	65146.jpg	difficult_target	n/a
13.0450000000	n/a	n/a	response	n/a	n/a	correct	n/a
14.6730000000	n/a	n/a	stimulus	340	65146.jpg	difficult_target	n/a
15.0130000000	n/a	n/a	response	n/a	n/a	correct	n/a
16.6380000000	n/a	n/a	stimulus	287	65146.jpg	difficult_target	n/a
16.9250000000	n/a	n/a	response	n/a	n/a	correct	n/a
18.5090000000	n/a	n/a	stimulus	258	65146.jpg	difficult_target	n/a
18.7670000000	n/a	n/a	response	n/a	n/a	correct	n/a
20.6340000000	n/a	n/a	stimulus	n/a	184060.jpg	difficult_distractor	n/a
22.8130000000	n/a	n/a	stimulus	362	65146.jpg	difficult_target	n/a
23.1750000000	n/a	n/a	response	n/a	n/a	correct	n/a
24.8610000000	n/a	n/a	stimulus	n/a	329054.jpg	difficult_distractor	n/a
26.8560000000	n/a	n/a	stimulus	293	65146.jpg	difficult_target	n/a
27.1490000000	n/a	n/a	response	n/a	n/a	correct	n/a
28.7340000000	n/a	n/a	stimulus	258	65146.jpg	difficult_target	n/a
28.9920000000	n/a	n/a	response	n/a	n/a	correct	n/a
30.7640000000	n/a	n/a	stimulus	n/a	5015.jpg	difficult_distractor	n/a
32.6370000000	n/a	n/a	stimulus	n/a	242083.jpg	difficult_distractor	n/a
34.6280000000	n/a	n/a	stimulus	n/a	124029.jpg	difficult_distractor	n/a
36.5380000000	n/a	n/a	stimulus	n/a	177096.jpg	difficult_distractor	n/a
38.6360000000	n/a	n/a	stimulus	n/a	115070.jpg	difficult_distractor	n/a
40.8440000000	n/a	n/a	stimulus	514	65146.jpg	difficult_target	n/a
41.3580000000	n/a	n/a	response	n/a	n/a	correct	n/a
42.7560000000	n/a	n/a	stimulus	n/a	19089.jpg	difficult_distractor	n/a
44.9390000000	n/a	n/a	stimulus	n/a	124099.jpg	difficult_distractor	n/a
47.0750000000	n/a	n/a	stimulus	454	65146.jpg	difficult_target	n/a
47.5290000000	n/a	n/a	response	n/a	n/a	correct	n/a
49.1120000000	n/a	n/a	stimulus	n/a	13090.jpg	difficult_distractor	n/a
51.2630000000	n/a	n/a	stimulus	450	65146.jpg	difficult_target	n/a
51.7130000000	n/a	n/a	response	n/a	n/a	correct	n/a
53.3040000000	n/a	n/a	stimulus	351	65146.jpg	difficult_target	n/a
53.6550000000	n/a	n/a	response	n/a	n/a	correct	n/a
55.3480000000	n/a	n/a	stimulus	352	65146.jpg	difficult_target	n/a
55.7000000000	n/a	n/a	response	n/a	n/a	correct	n/a
57.5490000000	n/a	n/a	stimulus	275	65146.jpg	difficult_target	n/a
57.8240000000	n/a	n/a	response	n/a	n/a	correct	n/a
59.5510000000	n/a	n/a	stimulus	263	65146.jpg	difficult_target	n/a
59.8140000000	n/a	n/a	response	n/a	n/a	correct	n/a
61.5140000000	n/a	n/a	stimulus	349	86006.jpg	difficult_distractor	n/a
61.8630000000	n/a	n/a	response	n/a	n/a	incorrect	n/a
63.3770000000	n/a	n/a	stimulus	n/a	341052.jpg	difficult_distractor	n/a
65.5250000000	n/a	n/a	stimulus	349	65146.jpg	difficult_target	n/a
65.8740000000	n/a	n/a	response	n/a	n/a	correct	n/a
67.5300000000	n/a	n/a	stimulus	n/a	126044.jpg	difficult_distractor	n/a
69.4460000000	n/a	n/a	stimulus	n/a	71073.jpg	difficult_distractor	n/a
71.4210000000	n/a	n/a	stimulus	n/a	115015.jpg	difficult_distractor	n/a
73.5310000000	n/a	n/a	stimulus	n/a	96021.jpg	difficult_distractor	n/a
75.4840000000	n/a	n/a	stimulus	621	65146.jpg	difficult_target	n/a
76.1050000000	n/a	n/a	response	n/a	n/a	correct	n/a
77.3970000000	n/a	n/a	stimulus	356	65146.jpg	difficult_target	n/a
77.7530000000	n/a	n/a	response	n/a	n/a	correct	n/a
79.4110000000	n/a	n/a	stimulus	n/a	83045.jpg	difficult_distractor	n/a
81.4220000000	n/a	n/a	stimulus	338	65146.jpg	difficult_target	n/a
81.7600000000	n/a	n/a	response	n/a	n/a	correct	n/a
83.4930000000	n/a	n/a	stimulus	n/a	261016.jpg	difficult_distractor	n/a
85.6120000000	n/a	n/a	stimulus	501	65146.jpg	difficult_target	n/a
86.1130000000	n/a	n/a	response	n/a	n/a	correct	n/a
87.4860000000	n/a	n/a	stimulus	n/a	83001.jpg	difficult_distractor	n/a
89.5310000000	n/a	n/a	stimulus	n/a	374053.jpg	difficult_distractor	n/a
91.3740000000	n/a	n/a	stimulus	n/a	101001.jpg	difficult_distractor	n/a
93.2950000000	n/a	n/a	stimulus	n/a	13071.jpg	difficult_distractor	n/a
95.1790000000	n/a	n/a	stimulus	n/a	374037.jpg	difficult_distractor	n/a
